Author	Link	identifier
Hubert Janssen	https://www.dbnl.org/auteurs/auteur.php?id=jans040	jans040
Jacques Idserda	https://www.dbnl.org/auteurs/auteur.php?id=idse001	idse001
J. van Delden	https://www.dbnl.org/auteurs/auteur.php?id=deld004	deld004
Karel Meeuwesse	https://www.dbnl.org/auteurs/auteur.php?id=meeu003	meeu003
F.J.J. Buitendijk	https://www.dbnl.org/auteurs/auteur.php?id=buit006	buit006
P.H. van der Kemp	https://www.dbnl.org/auteurs/auteur.php?id=kemp034	kemp034
Otto Dijk	https://www.dbnl.org/auteurs/auteur.php?id=dijk009	dijk009
Otto van Eck	https://www.dbnl.org/auteurs/auteur.php?id=eck_005	eck_005
Anton van der Vet	https://www.dbnl.org/auteurs/auteur.php?id=vet_001	vet_001
Peter Crassaerts	https://www.dbnl.org/auteurs/auteur.php?id=cras002	cras002
R.J. Valkhoff	https://www.dbnl.org/auteurs/auteur.php?id=valk015	valk015
J.J. Nieuwburg	https://www.dbnl.org/auteurs/auteur.php?id=nieu055	nieu055
H. de Vries	https://www.dbnl.org/auteurs/auteur.php?id=vrie079	vrie079
W.J.C. van Hasselt	https://www.dbnl.org/auteurs/auteur.php?id=hass007	hass007
Nicolaas Beets	https://www.dbnl.org/auteurs/auteur.php?id=beet005	beet005
Jan Pieter Heije	https://www.dbnl.org/auteurs/auteur.php?id=heij007	heij007
Hendrik Engelinus Weijers	https://www.dbnl.org/auteurs/auteur.php?id=weij008	weij008
J. Ackersdijck	https://www.dbnl.org/auteurs/auteur.php?id=acke008	acke008
E.J. Potgieter	https://www.dbnl.org/auteurs/auteur.php?id=potg001	potg001
Jacob Pieter van Walrée	https://www.dbnl.org/auteurs/auteur.php?id=walr011	walr011
S.J. van den Bergh	https://www.dbnl.org/auteurs/auteur.php?id=berg047	berg047
J.P. Arend	https://www.dbnl.org/auteurs/auteur.php?id=aren011	aren011
Herman Pol	https://www.dbnl.org/auteurs/auteur.php?id=pol_003	pol_003
A.L.G. Bosboom-Toussaint	https://www.dbnl.org/auteurs/auteur.php?id=bosb002	bosb002
Willem Gerard Brill	https://www.dbnl.org/auteurs/auteur.php?id=bril002	bril002
Joël Emanuel Goudsmit	https://www.dbnl.org/auteurs/auteur.php?id=goud010	goud010
S. de Visser S.zoon	https://www.dbnl.org/auteurs/auteur.php?id=viss065	viss065
J.I.D. Nepveu	https://www.dbnl.org/auteurs/auteur.php?id=nepv001	nepv001
L.Ph.C. van den Bergh	https://www.dbnl.org/auteurs/auteur.php?id=berg081	berg081
Johannes Gerardus la Lau	https://www.dbnl.org/auteurs/auteur.php?id=lau_001	lau_001
J.J.A. Goeverneur	https://www.dbnl.org/auteurs/auteur.php?id=goev001	goev001
Conradus Leemans	https://www.dbnl.org/auteurs/auteur.php?id=leem005	leem005
Jan van der Hoeven	https://www.dbnl.org/auteurs/auteur.php?id=hoev009	hoev009
Cornelis Star Numan	https://www.dbnl.org/auteurs/auteur.php?id=numa003	numa003
Montanus de Haan Hettema	https://www.dbnl.org/auteurs/auteur.php?id=haan007	haan007
Taco Roorda	https://www.dbnl.org/auteurs/auteur.php?id=roor005	roor005
John Bake	https://www.dbnl.org/auteurs/auteur.php?id=bake007	bake007
Johan de Wal	https://www.dbnl.org/auteurs/auteur.php?id=wal_010	wal_010
Jacob Geel	https://www.dbnl.org/auteurs/auteur.php?id=geel003	geel003
André van Hasselt	https://www.dbnl.org/auteurs/auteur.php?id=hass001	hass001
J.F. Oltmans	https://www.dbnl.org/auteurs/auteur.php?id=oltm001	oltm001
A.L. Lesturgeon	https://www.dbnl.org/auteurs/auteur.php?id=lest002	lest002
Willem Ernst Johan Berg	https://www.dbnl.org/auteurs/auteur.php?id=berg073	berg073
Hendrik Jan Nassau	https://www.dbnl.org/auteurs/auteur.php?id=nass001	nass001
Wopke Eekhoff	https://www.dbnl.org/auteurs/auteur.php?id=eekh002	eekh002
H.F. Cohen	https://www.dbnl.org/auteurs/auteur.php?id=cohe008	cohe008
Henricus Bernardus Martini van Geffen	https://www.dbnl.org/auteurs/auteur.php?id=mart036	mart036
Petrus de Raadt	https://www.dbnl.org/auteurs/auteur.php?id=raad003	raad003
Leigh Hunt	https://www.dbnl.org/auteurs/auteur.php?id=hunt003	hunt003
Willem Moll	https://www.dbnl.org/auteurs/auteur.php?id=moll002	moll002
