pers_id;achternaam;voornaam;voorvoegsel;omschrijving
adri047;Adriaensz.;Sibrandus;;herv./geref. predikant/leraar
adri048;Adriaensz.;Wilhelmus;;herv./geref. predikant/leraar
adri049;Adriaensz.;Wouter;;herv./geref. predikant/leraar
adri051;Adriaansz;Angela;;vertaler
adri052;Adrichem;Thomas;;herv./geref. predikant/leraar
adri054;Adrichem;Christ.;van;rk-geestelijke/kloosterling
adri055;Adrichem;Cornelia;van;rk-geestelijke/kloosterling
adri057;Adriensen;J.B.;;schilder
adri058;Adriaansen;G.J.;;rk-geestelijke/kloosterling
adri065;Adriaens van der Goude;Jan;;rk-geestelijke/kloosterling
adri067;Adriaensz.;Hendrik;;ambachtsman
adri069;Adriaenssens;Karel Jan Lodewijk;;onderwijzer (basisschool)
adri081;Adriani;Pieter;;militair/officier
adri081;Adriani;Pieter;;medicus/apotheker
adri083;Adriaensen;Brigitte;;leraar/docent/hoogleraar
adri085;Adrianus VI;;;rk-geestelijke/kloosterling
adri105;Adriaanse;H.J.;;leraar/docent/hoogleraar
adri105;Adriaanse;H.J.;;filosoof
adri105;Adriaanse;H.J.;;theoloog
adri105;Adriaanse;H.J.;;remonstr. predikant/leraar
adul001;Aduled;Eric;;vertaler
adul002;Adulfus;;;rk-geestelijke/kloosterling
aebi002;Aebinga;H.;van;militair/officier
aeck002;Aeck;Johannes;van der;schilder
aeff001;Aefferden;Adam;van;politicus/staatsman/bestuurder
aeff002;Aefferden;Adam;van;ambtenaar
aeff003;Aefferden;Adr.;van;rk-geestelijke/kloosterling
aeff004;Aefferden;Alb. P.J.;van;politicus/staatsman/bestuurder
aeff004;Aefferden;Alb. P.J.;van;militair/officier
aeff005;Aefferden;Arn.;van;politicus/staatsman/bestuurder
aeff006;Aefferden;Clara C.;van;rk-geestelijke/kloosterling
aeff007;Aefferden;E.A.;van;ambtenaar
aeff008;Aefferden;E.I. Chr.;van;ambtenaar
aeff008;Aefferden;E.I. Chr.;van;politicus/staatsman/bestuurder
aeff009;Aefferden;E.J.F.;van;ambtenaar
aeff010;Aefferden;Franciscus;van;rk-geestelijke/kloosterling
aeff010;Aefferden;Franciscus;van;advocaat/jurist
aeff011;Aefferden;Fr.A.;van;politicus/staatsman/bestuurder
aeff012;Aefferden;Fr.J.;van;rk-geestelijke/kloosterling
aeff013;Aefferden;G.A.E.;;politicus/staatsman/bestuurder
aeff014;Aefferden;J.;van;ambtenaar
aeff014;Aefferden;J.;van;rk-geestelijke/kloosterling
aeff015;Aefferden;J.;van;ambtenaar
aeff016;Aefferden;J.;van;advocaat/jurist
aeff017;Aefferden;J.B.A.F.J.;van;beeldend kunstenaar/illustrator/tekenaar
aeff017;Aefferden;J.B.A.F.J.;van;politicus/staatsman/bestuurder
aeff018;Aefferden;J.C.;van;advocaat/jurist
aeff019;Aefferden;J.J.;van;rk-geestelijke/kloosterling
aeff020;Aefferden;J.M.;van;politicus/staatsman/bestuurder
aeff021;Aefferden;M.;van;advocaat/jurist
aeff022;Aefferden;W.I.;van;militair/officier
aeff022;Aefferden;W.I.;van;rk-geestelijke/kloosterling
aegi001;Aegidius;Gul.;;wiskundige
aegi002;Aegidius;Joh.;;rk-geestelijke/kloosterling
ael_001;Ael;P.;van;vertaler
ael_002;Ael;Huibrecht;van;vertaler
aelb004;Aelbrechtsz.;A.;;schilder
aelh001;Aelhuijsen;Joh.;van;leraar/docent/hoogleraar
aels002;Aelst;Evert;van;schilder
aels003;Aelst;Isaeck;van;beeldend kunstenaar/illustrator/tekenaar
aels005;Aelst;Willem;van;schilder
aels010;Aelst;Ernest;van;boekdrukker/uitgever
aelt001;Aeltsen;Herman;;boekhandelaar
aelt001;Aeltsen;Herman;;boekdrukker/uitgever
aemi001;Aemilius;Antonius;;leraar/docent/hoogleraar
aemi001;Aemilius;Antonius;;historicus/archeoloog
aemi001;Aemilius;Antonius;;filosoof
aemi001;Aemilius;Antonius;;classicus
aemi002;Aemilius;Petrus;;onderwijzer (basisschool)
aemi002;Aemilius;Petrus;;herv./geref. predikant/leraar
aemi003;Aemilius;Robertus;;herv./geref. predikant/leraar
aemi003;Aemilius;Robertus;;politicus/staatsman/bestuurder
aemi004;Aemilius;Theodorus;;rk-geestelijke/kloosterling
aemi004;Aemilius;Theodorus;;herv./geref. predikant/leraar
aemi005;Aemilius;Petrus;;herv./geref. predikant/leraar
aene001;Aeneae;Henr.;;herv./geref. predikant/leraar
aene002;Aeneae;Petrus;;beeldend kunstenaar/illustrator/tekenaar
aene003;Aeneae;W. Schultetus;;medicus/apotheker
aene004;Aenée;E.;;herv./geref. predikant/leraar
aeng002;Aenghelen;P.;van;luthers predikant/leraar
aeng003;Aengenent;J.D.J.;;rk-geestelijke/kloosterling
aerc001;Aercke;Kristiaan;;leraar/docent/hoogleraar
aerd001;Aerde;Rogier;van;journalist/redacteur
aerd003;Aerd;Th. A.C.;van;rk-geestelijke/kloosterling
aerd004;Aerde;J.P.;van;schilder
aerd006;Aerdts;J.;;ambtenaar
aerd007;Aerden;Stijn;;journalist/redacteur
aerd008;Aerde;Kees;van;beeldend kunstenaar/illustrator/tekenaar
aerl001;Aerle;Jan;van;rk-geestelijke/kloosterling
aern001;Aernout;Pieter;;rk-geestelijke/kloosterling
aern002;Aerninck;H.;;ambachtsman
aern003;Aernout;W.E.M.S.;;aardrijkskundige/cartograaf
aern007;Aernoudts;Karel;;ambtenaar
aern007;Aernoudts;Karel;;advocaat/jurist
aers002;Aerssen;François;van;diplomaat
aers003;Aerssen;J.M.H.;;rk-geestelijke/kloosterling
aers004;Aerssen;C.;van;militair/officier
aers005;Aerssen;C.;van;militair/officier
aers007;Aerssen;Gosw.;van;politicus/staatsman/bestuurder
aers008;Aerssen;Gosw.;van;politicus/staatsman/bestuurder
aers009;Aerssen;T.;van;ambtenaar
aers010;Aerssen Beyeren;Albrecht Nicolaas;baron van;militair/officier
aers017;Aerschot;Tine;van;beeldend kunstenaar/illustrator/tekenaar
aert001;Aerts;Bert;;advocaat/jurist
aert010;Aerts;Remieg;;historicus/archeoloog
aert012;Aerts;Jef;;musicus/minstreel/jongleur
